Text_ID	Tree_ID	Token_ID	Token	Speaker	Word_span	Wordform	Lemma	POS	Mood	Tense	Person	Number	Gender	ID_dep	Type_dep	ID_plain	Type_plain	ID_junc	Type_junc	ID_para	Type_para	ID_inherited	Type_inherited	ID_junc_inherited	Type_junc_inherited	Layer	IU	Nucleus	Prenucleus	Gov_nucleus	Innucleus	Gov_innucleus	Postnucleus	Gov_postnucleus	IU_parenthesis	IU_graft	IU_embedded	Associated_nucleus	Intro_IU	Period	Period_tone	Package	Package_type	Package_tone	Group	Group_type	Group_tone	Foot	Foot_type	Foot_tone	Syllable	Syllable_tone	Prominence_initial	Prominence_final	Hesitation	Pause_length	Tmin	Tmax	Syllable_length	Syllable_length_avg	Pitch	Pitch_avg
M0004			 			 	 																																																							
M0004	1	1	tu	$L1	B	tu	tu	Cl			2	sg		3	sub	3	sub									O	B	B	O	O	O	O	O	O	O	O	O	O	O	B	mlh2	B	included	mh	U	weak	mh	U	weak	mh	U	ll	0	0			0	0.277438	277.43800000000005	181.659		
M0004	1	2	 			 	 																																																							
M0004	1	3	montes	$L1	B	montes	monter	V	indicative	present	2	sg		0	root	0	root									O	I	I	O	O	O	O	O	O	O	O	O	O	O	I	mlh2	I	included	mh	B	strong	mh	B	strong	mh	U	hm	W	W			0.277438	0.547438	209.99999999999997	209.14600000000002	88.04026664461207	89.27335973517837
M0004	1	4	 			 	 																																																							
M0004	1	5	les	$L1	B	les	le	D				pl	masc	7	dep	7	dep									O	I	I	O	O	O	O	O	O	O	O	O	O	O	I	mlh2	I	included	mh	I	strong	mh	I	strong	mh	U	mm	0	0			0.547438	0.687438	153.318	204.1085	89.17294621835401	89.03322576290054
M0004	1	6	 			 	 																																																							
M0004	1	7	escaliers	$L1	B	escaliers	escalier	N				pl	masc	3	obj	3	obj									O	L	L	O	O	O	O	O	O	O	O	O	O	O	I	mlh2	L	included	mh	L	strong	mh	L	strong	mh	U	mh	0	S			0.687438	1.158367	188.61499999999998	143.60875000000004	91.16590400630719	89.84322541661034
M0004			 			 	 																																																							
M0004	2	1	tu	$L1	B	tu	tu	Cl			2	sg		3	sub	3	sub									O	B	B	O	O	O	O	O	O	O	O	O	O	O	I	mlh2	B	lone	mh	B	strong	mh	B	strong	mh	U	mm	0	0			1.158367	1.295019	136.652	174.5285	90.97946165248987	89.8062819630336
M0004	2	2	 			 	 																																																							
M0004	2	3	descends	$L1	B	descends	descendre	V	indicative	present	2	sg		0	root	0	root									O	I	I	O	O	O	O	O	O	O	O	O	O	O	I	mlh2	L	lone	mh	L	strong	mh	L	strong	mh	U	mh	0	S			1.295019	1.672204	268.3979999999999	139.20325000000005	89.03955708387846	89.62906550391747
M0004	2	4	 			 	 																																																							
M0004	2	5	jusqu	$L1	B	jusqu'à+le	jusqu'à+le	Pre+D						3	ad	3	ad									O	I	I	O	O	O	O	O	O	O	O	O	O	O	I	mlh2	B	lone	ml	B	strong	ml	B	strong	ml	B	mm	0	0			1.672204	1.940272	131.3740000000001	161.75599999999994	89.01793084035874	88.9488992669896
M0004	2	6	'	$L1	I																					O	I	I	O	O	O	O	O	O	O	O	O	O	O	I	mlh2	I	lone	ml	I	strong	ml	I	strong	ml	I	mm	0	0			1.672204	1.940272	131.3740000000001	161.75599999999994	89.01793084035874	88.9488992669896
M0004	2	7	au	$L1	I																					O	I	I	O	O	O	O	O	O	O	O	O	O	O	I	mlh2	I	lone	ml	I	strong	ml	I	strong	ml	L	mm	0	0			1.940272	1.983578	131.3740000000001	161.75599999999994	89.01793084035874	88.9488992669896
M0004	2	8	 			 	 																																																							
M0004	2	9	cinéma	$L1	B	cinéma	cinéma	N				sg	masc	5	dep	5	dep									O	I	I	O	O	O	O	O	O	O	O	O	O	O	I	mlh2	L	lone	ml	L	strong	ml	L	strong	ml	U	mm	0	0			1.983578	2.320159	137.9549999999998	153.60833333333343	87.79562868602619	87.5319083190189
M0004	2	10	 			 	 																																																							
M0004	2	11	Star	$L1	B	Star	Star	N				sg	masc/fem	9	dep	9	dep									O	L	L	O	O	O	O	O	O	O	O	O	O	O	L	mlh2	U	lone	ml	U	strong	ml	U	strong	ml	U	ml	S	S		1.4754	2.320159	4.057761				
M0004			 			 	 																																																							
M0004	3	1	arrivé	$L1	B	arrivé	arriver	V	past_participle			sg	masc	0	root	0	root									O	B	O	B	O	O	O	O	O	O	O	O	O	O	B	mh	B	lone	lmL1	B	strong	lmL1	B	strong	lmL1	U	LL	0	0			4.057761	4.271931	75.70100000000046	94.61724999999976	90.0345447752039	89.95462905144669
M0004	3	2	 			 	 																																																							
M0004	3	3	au	$L1	B	à+le	à+le	Pre+D				sg	masc	1	obl	1	obl									O	I	O	I	O	O	O	O	O	O	O	O	O	O	I	mh	I	lone	lmL1	I	strong	lmL1	I	strong	lmL1	U	hh	0	0			4.271931	4.371117	99.18599999999955	97.27200000000025	90.42788274778059	89.85252150697566
M0004	3	4	 			 	 																																																							
M0004	3	5	cinéma	$L1	B	cinéma	cinéma	N				sg	masc	3	dep	3	dep									O	I	O	I	O	O	O	O	O	O	O	O	O	O	I	mh	I	lone	lmL1	I	strong	lmL1	I	strong	lmL1	U	mm	0	0			4.371117	4.718855	116.92399999999914	133.3850000000003	89.94806287231063	90.65509849189361
M0004	3	6	 			 	 																																																							
