Text_ID	Tree_ID	Token_ID	Token	Speaker	Word_span	Wordform	Lemma	POS	Mood	Tense	Person	Number	Gender	ID_dep	Type_dep	ID_plain	Type_plain	ID_junc	Type_junc	ID_para	Type_para	ID_inherited	Type_inherited	ID_junc_inherited	Type_junc_inherited	Layer	IU	Nucleus	Prenucleus	Gov_nucleus	Innucleus	Gov_innucleus	Postnucleus	Gov_postnucleus	IU_parenthesis	IU_graft	IU_embedded	Associated_nucleus	Intro_IU	Period	Period_tone	Package	Package_type	Package_tone	Group	Group_type	Group_tone	Foot	Foot_type	Foot_tone	Syllable	Syllable_tone	Prominence_initial	Prominence_final	Hesitation	Pause_length	Tmin	Tmax	Syllable_length	Syllable_length_avg	Pitch	Pitch_avg
M2003	nan		 			 	 																																																							
M2003	1	1	c	$L1	B	c'	ce	Cl			3	sg	masc	3.0	sub	3.0	sub									O	B	B	O	O	O	O	O	O	O	O	O	O	O	B	hL	B	lone	hhm1	B	strong	hhm1	B	strong	hhm1	B	lm	0	0			0.24	0.495	255.0	180.0	91.40964451622573	90.56951108895048
M2003	1	2	'	$L1	I																					O	I	I	O	O	O	O	O	O	O	O	O	O	O	I	hL	I	lone	hhm1	I	strong	hhm1	I	strong	hhm1	I	lm	0	0			0.24	0.495	255.0	180.0	91.40964451622573	90.56951108895048
M2003	1	3	est	$L1	B	est	être	V	indicative	present	3	sg		0.0	root	0.0	root									O	I	I	O	O	O	O	O	O	O	O	O	O	O	I	hL	I	lone	hhm1	I	strong	hhm1	I	strong	hhm1	L	lm	0	0			0.24	0.495	255.0	180.0	91.40964451622573	90.56951108895048
M2003	1	4	 			 	 																																																							
M2003	1	5	la	$L1	B	la	le	D				sg	fem	9.0	dep	9.0	dep									B	I	I	O	O	O	O	O	O	O	O	O	O	O	I	hL	I	lone	hhm1	I	strong	hhm1	I	strong	hhm1	U	mm	0	0			0.495	0.665	170.00000000000003	248.3333333333333	89.40654051299313	91.8867748538916
M2003	1	6	 			 	 																																																							
M2003	1	7	première	$L1	B	première	premier	Adj				sg	fem	9.0	dep	9.0	dep									I	I	I	O	O	O	O	O	O	O	O	O	O	O	I	hL	L	lone	hhm1	L	strong	hhm1	L	strong	hhm1	U	hm	0	S			0.665	1.155	300.00000000000006	227.24975	92.51819838054124	90.3964688621459
M2003	1	8	 			 	 																																																							
M2003	1	9	journée	$L1	B	journée	journée	N				sg	fem	3.0	pred	3.0	pred									I	I	I	O	O	O	O	O	O	O	O	O	O	O	I	hL	U	lone	mml1	U	strong	mml1	U	strong	mml1	U	mmh3	0	S			1.155	1.703999	238.999	246.36175	91.12987507694724	89.32500921575308
M2003	1	10	 			 	 																																																							
M2003	1	11	de	$L1	B	de	de	Pre						9.0	dep	9.0	dep									I	I	I	O	O	O	O	O	O	O	O	O	O	O	I	hL	U	lone	mL	U	strong	mL	U	strong	mL	U	ml	0	0			1.703999	1.867867	163.8679999999999	255.283	88.44224006187034	88.08259231463403
M2003	1	12	 			 	 																																																							
M2003	1	13	Jésus	$L1	B	Jésus	Jésus	N				sg	masc	11.0	dep	11.0	dep									I	I	I	O	O	O	O	O	O	O	O	O	O	O	L	hL	U	lone	mL	U	strong	mL	U	strong	mL	U	lL	0	S		0.570621	1.867867	2.910621	260.554	187.72349999999997	84.8608957609881	87.7324301443679
M2003	1	14	 			 	 																																																							
M2003	1	15	que	$L1	B	que	que	Qu						23.0	obj	23.0	obj									I	I	I	O	O	O	O	O	O	O	O	O	O	O	B	lLm2	B	lone	lLm2	B	strong	lLm2	B	strong	lLm2	U	ll	_	0			2.910621	2.985839	75.218	205.00000000000009	86.5663942370945	86.8399512224809
M2003	1	16	 			 	 																																																							
M2003	1	17	nous	$L1	B	nous	nous	Cl			1	pl		19.0	sub	19.0	sub									I	I	I	O	O	O	O	O	O	O	O	O	O	O	I	lLm2	I	lone	lLm2	I	strong	lLm2	I	strong	lLm2	U	ll	0	0			2.985839	3.115199	129.36000000000013	191.95266666666657	86.46280833113569	86.9265567009359
M2003	1	18	 			 	 																																																							
M2003	1	19	venons	$L1	B	venons	venir	V	indicative	present	1	pl		3.0	dep	3.0	dep									I	I	I	O	O	O	O	O	O	O	O	O	O	O	I	lLm2	I	lone	lLm2	I	strong	lLm2	I	strong	lLm2	U	lm	0	0			3.115199	3.395839	280.64	238.93575	87.21709411382614	85.53111314025213
M2003	1	20	 			 	 																																																							
M2003	1	21	d	$L1	B	d'	de	Pre						19.0	obl	19.0	obl									I	I	I	O	O	O	O	O	O	O	O	O	O	O	I	lLm2	I	lone	lLm2	I	strong	lLm2	I	strong	lLm2	B	lL	0	S			3.395839	4.147004	531.1650000000001	250.31999999999988	82.09906824089127	87.1066379328566
M2003	1	22	'	$L1	I																					I	I	I	O	O	O	O	O	O	O	O	O	O	O	I	lLm2	I	lone	lLm2	I	strong	lLm2	I	strong	lLm2	I	lL	0	S			3.395839	4.147004	531.1650000000001	250.31999999999988	82.09906824089127	87.1066379328566
M2003	1	23	entendre	$L1	B	entendre	entendre	V	infinitive					21.0	dep	21.0	dep									L	L	L	O	O	O	O	O	O	O	O	O	O	O	L	lLm2	L	lone	lLm2	L	strong	lLm2	L	strong	lLm2	L	lL	0	S		0.502996	3.395839	4.147004	531.1650000000001	250.31999999999988	82.09906824089127	87.1066379328566
M2003	1	24	 			 	 																																																							
M2003	1	25	la	$L1	B	la	le	D				sg	fem	29.0	dep	29.0	dep									B	B	B	O	O	O	O	O	O	O	O	O	O	O	B	lh	B	included	lh	B	weak	lmH2	U	strong	lH	U	ll	_	0			4.65	4.855	205.00000000000009	213.5079999999996	86.91467590679471	92.92137670503904
M2003	1	26	 			 	 																																																							
M2003	1	27	première	$L1	B	première	premier	Adj				sg	fem	29.0	dep	29.0	dep									I	I	I	O	O	O	O	O	O	O	O	O	O	O	I	lh	I	included	lh	L	weak	lmH2	U	weak	Hm	U	Hm	S	W			4.855	5.282016	227.01599999999988	261.99599999999987	93.70592544610211	91.18608668455524
M2003	1	28	 			 	 																																																							
M2003	1	29	journée	$L1	B	journée	journée	N				sg	fem	9.0	para_dform					9.0	para_dform	3	pred_inherited			I	I	I	O	O	O	O	O	O	O	O	O	O	O	L	lh	L	included	lh	U	strong	mhH3	U	strong	mhH3	U	hhH2	0	S		0.34	5.282016	5.925	379.9999999999999	245.0000000000001	94.46053974373972	92.46911428490638
M2003	1	30	 			 	 																																																							
M2003	1	31	où	$L1	B	où	où	Qu						35.0	ad	35.0	ad									I	I	I	O	O	O	O	O	O	O	O	O	O	O	B	mhm3	B	lone	mhm3	B	strong	mhm3	B	strong	mh	U	mh	_	0			6.265	6.382351	117.3510000000002	168.82449999999994	91.36852773858682	92.24158149756929
M2003	1	32	 			 	 																																																							
M2003	1	33	il	$L1	B	il	il	Cl			3	sg	masc	35.0	sub	35.0	sub									I	I	I	O	O	O	O	O	O	O	O	O	O	O	I	mhm3	I	lone	mhm3	I	strong	mhm3	L	strong	mh	U	hm	0	0			6.382351	6.56	177.64899999999972	143.41566666666682	91.86755683109722	92.37567231469907
M2003	1	34	 			 	 																																																							
M2003	1	35	manifeste	$L1	B	manifeste	manifester	V	indicative	present	3	sg		29.0	dep	29.0	dep									I	I	I	O	O	O	O	O	O	O	O	O	O	O	I	mhm3	I	lone	mhm3	I	strong	mhm3	B	weak	hm	U	hm	0	0			6.56	7.468558	168.558	252.33900000000008	92.41883648884132	91.90716135739189
M2003	1	36	 			 	 																																																							
M2003	1	37	son	$L1	B	son	son	D				sg	fem	39.0	dep	39.0	dep									B	I	I	O	O	O	O	O	O	O	O	O	O	O	I	mhm3	I	lone	mhm3	I	strong	mhm3	L	weak	hm	U	mm	0	0			7.468558	7.740115	271.55700000000047	233.88674999999992	90.18208185682124	91.81992399212837
M2003	1	38	 			 	 																																																							
M2003	1	39	autorité	$L1	B	autorité	autorité	N				sg	fem	35.0	obj	35.0	obj									L	I	I	O	O	O	O	O	O	O	O	O	O	O	L	mhm3	L	lone	mhm3	L	strong	mhm3	U	strong	mhl2	U	lhl1	0	S		0.438897000000001	7.740115	8.6	320.0000000000003	191.04299999999964	88.44103080316543	89.80454262802293
M2003	1	40	 			 	 																																																							
M2003	1	41	et	$L1	B	et	et	J						39.0	junc			39.0	junc							B	I	O	O	O	O	O	O	O	O	O	O	O	O	B	mLh1	B	included	hhH2	U	weak	mm	U	weak	mm	U	mm	_	W			9.038897	9.163897	125.0	205.00000000000009	91.45557504699934	93.39468405628244
M2003	1	42	 			 	 																																																							
M2003	1	43	la	$L1	B	la	le	D				sg	fem	45.0	dep	45.0	dep									B	I	I	O	O	O	O	O	O	O	O	O	O	O	I	mLh1	I	included	hhH2	B	strong	mhH2	U	strong	mhH3	U	mm	0	0			9.163897	9.313897	150.00000000000034	196.8693333333332	91.50817321607924	93.41043754288604
M2003	1	44	 			 	 																																																							
M2003	1	45	nouveauté	$L1	B	nouveauté	nouveauté	N				sg	fem	41.0	junc			41.0	junc	39.0	para_coord	35	obj_inherited			L	I	I	O	O	O	O	O	O	O	O	O	O	O	I	mLh1	L	included	hhH2	L	strong	mhH2	U	strong	hhl2	U	hhl2	S	S		0.134979000000001	9.313897	10.065	285.49499999999915	232.8039999999998	90.41764939452752	94.38786879082936
M2003	1	46	 			 	 																																																							
M2003	1	47	la	$L1	B	la	le	D				sg	fem	51.0	dep	51.0	dep									B	I	I	O	O	O	O	O	O	O	O	O	O	O	I	mLh1	B	lone	lhh3	B	strong	lhh3	B	strong	lhh3	U	ll	_	0			10.199979	10.494979	294.99999999999994	184.9999999999996	85.97831817930651	91.64926705166904
M2003	1	48	 			 	 																																																							
M2003	1	49	bonne	$L1	B	bonne	bon	Adj				sg	fem	51.0	dep	51.0	dep									I	I	I	O	O	O	O	O	O	O	O	O	O	O	I	mLh1	L	lone	lhh3	L	strong	lhh3	L	strong	lhh3	U	lhh2	S	S			10.494979	10.734979	239.99999999999844	271.84933333333385	92.70268595681998	88.26204017556617
M2003	1	50	 			 	 																																																							
M2003	1	51	nouvelle	$L1	B	nouvelle	nouvelle	N				sg	fem	45.0	para_hyper					45.0	para_hyper	35	obj_inherited			L	I	I	O	O	O	O	O	O	O	O	O	O	O	I	mLh1	U	lone	hml2	U	strong	hml2	U	strong	hml2	U	mm	0	S		0.0481789999999993	10.734979	11.255527	390.5480000000008	184.9999999999996	88.21195420087395	91.64926705166904
M2003	1	52	 			 	 																																																							
M2003	1	53	l	$L1	B	l'	le	D				sg	masc	55.0	dep	55.0	dep									B	I	I	O	O	O	O	O	O	O	O	O	O	O	I	mLh1	B	lone	lmh1	B	strong	lmh1	B	strong	mml2	B	mml1	S	S			11.303706	12.188706	387.90000000000015	227.50000000000003	88.11046878991283	90.8601692297664
M2003	1	54	'	$L1	I																					I	I	I	O	O	O	O	O	O	O	O	O	O	O	I	mLh1	I	lone	lmh1	I	strong	lmh1	I	strong	mml2	I	mml1	S	S			11.303706	12.188706	387.90000000000015	227.50000000000003	88.11046878991283	90.8601692297664
M2003	1	55	évangile	$L1	B	évangile	évangile	N				sg	masc	51.0	para_hyper					51.0	para_hyper	35	obj_inherited			L	I	I	O	O	O	O	O	O	O	O	O	O	O	I	mLh1	L	lone	lmh1	L	strong	lmh1	L	strong	mml2	L	mml1	S	S		0.279835	11.303706	12.188706	387.90000000000015	227.50000000000003	88.11046878991283	90.8601692297664
M2003	1	56	 			 	 																																																							
M2003	1	57	qui	$L1	B	qui	qui	Qu						59.0	sub	59.0	sub									I	I	I	O	O	O	O	O	O	O	O	O	O	O	I	mLh1	B	tail	mL	B	tail	mL	U	strong	ml	U	mm	_	0			12.468541	12.613541	144.99999999999957	190.0000000000004	88.74139133716616	86.25337605702546
M2003	1	58	 			 	 																																																							
M2003	1	59	arrive	$L1	B	arrive	arriver	V	indicative	present	3	sg		55.0	dep	55.0	dep					51,45	dep_inherited			I	I	I	O	O	O	O	O	O	O	O	O	O	O	I	mLh1	L	tail	mL	L	tail	mL	U	tail	LL	U	LL	0	0		0.213859000000001	12.613541	13.121141	127.59999999999928	190.0000000000004	83.8286423115178	86.25337605702546
M2003	1	60	 			 	 																																																							
M2003	1	61	avec	$L1	B	avec	avec	Pre						59.0	ad	59.0	ad									I	I	I	O	O	O	O	O	O	O	O	O	O	O	I	mLh1	B	lone	mL	B	strong	mL	B	strong	lL	U	lL	_	0			13.335	13.66	220.00000000000065	204.9999999999992	83.495352386587	83.40627689161369
M2003	1	62	 			 	 																																																							
M2003	1	63	lui	$L1	B	lui	lui	Pro			3	sg	masc	61.0	dep	61.0	dep									L	L	L	O	O	O	O	O	O	O	O	O	O	O	L	mLh1	L	lone	mL	L	strong	mL	L	strong	lL	U	LL	S	S		1.302276	13.66	13.965	304.9999999999997	162.49999999999966	80.24348331734143	85.03221142623646
M2003	nan		 			 	 																																																							
M2003	2	1	et	$L1	B	et	et	J						0.0	root	0.0	root									O	B	O	O	O	O	O	O	O	O	O	O	O	U	B	lLh1	B	included	lhh3	B	weak	lmh3	B	weak	lmh3	U	ll	_	0			15.267276	15.332276	64.9999999999995	115.0000000000002	84.93026101618374	90.4762238576766
M2003	2	2	 			 	 																																																							
M2003	2	3	vous	$L1	B	vous	vous	Cl			2	pl		7.0	sub	7.0	sub									O	I	B	O	O	O	O	O	O	O	O	O	O	O	I	lLh1	I	included	lhh3	I	weak	lmh3	I	weak	lmh3	U	lh	0	0			15.332276	15.442276	109.99999999999945	121.66666666666674	88.65209347644351	90.24199604216275
M2003	2	4	 			 	 																																																							
M2003	2	5	l	$L1	B	l'	le	Cl			3	sg	masc/fem	9.0	obj	9.0	obj									O	I	I	O	O	O	O	O	O	O	O	O	O	O	I	lLh1	I	included	lhh3	I	weak	lmh3	I	weak	lmh3	B	hmh2	0	W			15.442276	15.662276	179.99999999999972	155.00000000000026	93.49537287139484	91.3936658078276
M2003	2	6	'	$L1	I																					O	I	I	O	O	O	O	O	O	O	O	O	O	O	I	lLh1	I	included	lhh3	I	weak	lmh3	I	weak	lmh3	I	hmh2	0	W			15.442276	15.662276	179.99999999999972	155.00000000000026	93.49537287139484	91.3936658078276
M2003	2	7	avez	$L1	B	avez	avoir	V	indicative	present	2	pl		1.0	dep	1.0	dep									O	I	I	O	O	O	O	O	O	O	O	O	O	O	I	lLh1	I	included	lhh3	L	weak	lmh3	L	weak	lmh3	L	hmh2	0	W			15.442276	15.662276	179.99999999999972	155.00000000000026	93.49537287139484	91.3936658078276
M2003	2	8	 			 	 																																																							
M2003	2	9	remarqué	$L1	B	remarqué	remarquer	V	past_participle			sg	masc	7.0	pred	7.0	pred									O	I	I	O	O	O	O	O	O	O	O	O	O	O	I	lLh1	L	included	lhh3	U	strong	mhH2	U	strong	mhH2	U	hh	0	S			15.662276	16.132276	200.00000000000108	137.49999999999974	94.18452421826645	91.57430264618176
M2003	2	10	 			 	 																																																							
M2003	2	11	en	$L1	B	en	en	Pre						9.0	ad	9.0	ad									O	I	I	O	O	O	O	O	O	O	O	O	O	O	I	lLh1	B	motherless	hm	B	weak	hm	B	weak	hm	U	hm	0	0			16.132276	16.212276	79.9999999999983	165.00000000000003	91.69107718928072	91.33850507231966
M2003	2	12	 			 	 																																																							
M2003	2	13	écoutant	$L1	B	écoutant	écouter	V	present_participle					11.0	dep	11.0	dep									O	I	I	O	O	O	O	O	O	O	O	O	O	O	I	lLh1	L	motherless	hm	L	weak	hm	L	weak	hm	U	hm	0	W			16.212276	16.652276	170.0000000000017	137.50000000000017	89.63959675676661	89.67305535282601
M2003	2	14	 			 	 																																																							
